
------------------------------------------------------------------------
Apr 21 15:06:22 purevol list --space --effective --total --pending
------------------------------------------------------------------------
Name                                          Size     Virtual  Unique   Snapshots  Total    Method
ashb-vdi-245-A01-n                            12T      802.19M  802.21M  0.00       802.21M  effective
ashb-vdi-246-A01-n                            8T       501.54M  501.54M  0.00       501.54M  effective
ashb-vdi-247-A01-n                            8T       151.96G  151.97G  0.00       151.97G  effective
ashb-vdi-248-A01-n                            8T       67.05G   67.05G   0.00       67.05G   effective
ashb-vdi-249-A01-n                            8T       471.77G  471.77G  0.00       471.77G  effective
ashb-vdi-250-A01-n                            8T       307.49G  307.49G  0.00       307.49G  effective
ashb-vdi-251-A01-n                            8T       470.03G  470.03G  0.00       470.03G  effective
ashb-vdi-252-A01-n                            8T       271.54G  271.54G  0.00       271.54G  effective
ashb-vdi-253-A01-n                            8T       222.64G  222.64G  0.00       222.64G  effective
ashb-vdi-254-A01-n                            8T       274.77G  274.77G  0.00       274.77G  effective
ashbd-gc-245-A01-n                            15T      8.81T    8.81T    713.27G    9.51T    effective
ashbd-gc-246-A01-n                            8T       3.16T    2.70T    2.60T      5.31T    effective
ashbd-gc-247-A01-n                            8T       3.41T    3.40T    1.24T      4.64T    effective
ashbd-gc-248-A01-n                            12T      5.32T    5.32T    1.03T      6.34T    effective
ashbd-gc-249-A01-n                            8T       2.29T    2.27T    980.28G    3.22T    effective
ashbd-gc-250-A01-n                            12T      4.25T    4.17T    2.14T      6.31T    effective
ashbd-gc-251-A01-n                            10T      3.09T    2.61T    1.74T      4.35T    effective
ashbd-gc-252-A01-n                            8T       2.98T    2.90T    2.44T      5.34T    effective
ashbd-gc-253-A01-n                            10T      5.05T    5.04T    1.09T      6.13T    effective
ashbd-gc-254-A01-n                            8T       2.74T    2.70T    2.28T      4.98T    effective
ashbdr-db-241-A01-n                           10T      208.38M  209.29M  17.21M     226.50M  effective
ashbdr-db-242-A01-n                           10T      206.35M  207.26M  17.21M     224.47M  effective
ashbdr-db-243-A01-n                           10T      210.23M  212.65M  149.75M    362.40M  effective
